Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,583.0,-75,246.8900946203896,1.7272,65.1278
a-025,IR02,326.0,-17,562.0509246617805,0.8103,65.1278
a-026,IR03,382.0,-70,314.8773100121548,1.1716,65.1278
a-027,IR04,659.0,-39,267.80460975680086,1.2028,65.1278
a-011,IR05,589.0,-43,194.8346470715445,1.4268,65.1278
a-023,IR06,1210.0,-41,68.46762129986523,1.377,65.1278
a-022,IR07,1210.0,-40,0.0,0.594,65.1278
a-021,IR08,24800.0,-26,9.739025857533644,0.8375,65.1278
a-020,IR09,2350.0,-41,72.50252418520574,1.008,65.1278
a-004,IR10,2600.0,-43,50.00613833074667,1.2387,65.1278
