Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,1410.0,-36,65.7323,63.727782122022816,1.7272
d-025,IR02,578.0,-42,65.7323,272.0320009433097,0.8103
d-026,IR03,553.0,-40,65.7323,10.068607110357176,1.1716
d-027,IR04,1010.0,-41,65.7323,161.87082738658043,1.2028
d-011,IR05,1560.0,-33,65.7323,146.10188022190246,1.4268
d-023,IR06,821.0,-40,65.7323,302.822933541902,1.377
d-022,IR07,1120.0,-31,65.7323,0.0,0.594
d-021,IR08,951.0,-32,65.7323,233.43283582059223,0.8375
d-020,IR09,692.0,-37,65.7323,322.8785103785049,1.008
d-004,IR10,2210.0,-40,65.7323,69.1149769060312,1.2387
