Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,578.0,-45,199.79109861067445,1.7272,66.6084
a-025,IR02,477.0,-42,571.1252689496496,0.8103,66.6084
a-026,IR03,506.0,-40,395.0006874615066,1.1716,66.6084
a-027,IR04,562.0,-46,270.58658003129136,1.2028,66.6084
a-011,IR05,590.0,-43,236.74152328973096,1.4268,66.6084
a-023,IR06,1060.0,-38,74.99011658138035,1.377,66.6084
a-022,IR07,1130.0,-40,0.0,0.594,66.6084
a-021,IR08,22600.0,-26,148.30334528180694,0.8375,66.6084
a-020,IR09,2090.0,-41,72.86814694221957,1.008,66.6084
a-004,IR10,2330.0,-43,57.447820605978,1.2387,66.6084
