Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,1150.0,-27,206.3428374463524,1.7272,67.0952
a-025,IR02,974.0,-10,617.4509599166292,0.8103,67.0952
a-026,IR03,950.0,-50,360.2896761823462,1.1716,67.0952
a-027,IR04,994.0,-74,246.7290773742996,1.2028,67.0952
a-011,IR05,1010.0,-70,164.81829546708818,1.4268,67.0952
a-023,IR06,948.0,-38,93.5879362638195,1.377,67.0952
a-022,IR07,1050.0,-40,0.0,0.594,67.0952
a-021,IR08,1110.0,-38,157.11698962019506,0.8375,67.0952
a-020,IR09,1860.0,-39,86.26979638006709,1.008,67.0952
a-004,IR10,2070.0,-41,55.70388702534128,1.2387,67.0952
