Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,944.0,-33,65.7415,125.60436946726888,1.7272
d-025,IR02,615.0,-50,65.7415,607.7278297731015,0.8103
d-026,IR03,531.0,-37,65.7415,469.717064544582,1.1716
d-027,IR04,584.0,-44,65.7415,377.9939830318755,1.2028
d-011,IR05,828.0,-25,65.7415,283.12256519358647,1.4268
d-023,IR06,819.0,-35,65.7415,258.38228058881384,1.377
d-022,IR07,998.0,-30,65.7415,0.0,0.594
d-021,IR08,872.0,-33,65.7415,428.5742084882919,0.8375
d-020,IR09,658.0,-38,65.7415,208.19366123644,1.008
d-004,IR10,1690.0,-36,65.7415,139.96957107639787,1.2387
