Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,669.0,-89,241.4237954418176,1.7272,65.109
a-025,IR02,328.0,-39,981.830091416554,0.8103,65.109
a-026,IR03,452.0,-69,993.0535493841963,1.1716,65.109
a-027,IR04,401.0,-56,243.74474447962805,1.2028,65.109
a-011,IR05,341.0,-51,225.7607125143776,1.4268,65.109
a-023,IR06,965.0,-41,79.07379476008585,1.377,65.109
a-022,IR07,1070.0,-43,0.0,0.594,65.109
a-021,IR08,28600.0,-26,50.19959315706245,0.8375,65.109
a-020,IR09,1930.0,-44,63.567921826864165,1.008,65.109
a-004,IR10,2190.0,-47,51.913917196076206,1.2387,65.109
