Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,142.0,-53,66.8305,194.0603262362389,1.7272
a-025,IR02,103.0,-34,66.8305,596.8824461975074,0.8103
a-026,IR03,266.0,-25,66.8305,323.2211483747698,1.1716
a-027,IR04,206.0,-52,66.8305,277.45338396461125,1.2028
a-011,IR05,195.0,-56,66.8305,188.7500115527512,1.4268
a-023,IR06,702.0,-38,66.8305,115.57121076490918,1.377
a-022,IR07,800.0,-38,66.8305,0.0,0.594
a-021,IR08,776.0,-39,66.8305,203.7555336021496,0.8375
a-020,IR09,1400.0,-42,66.8305,127.58071177189164,1.008
a-004,IR10,1540.0,-44,66.8305,87.33345715666076,1.2387
