Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,64.6,-19,,1.7272,65.3523
a-025,IR02,344.0,-16,,0.8103,65.3523
a-026,IR03,402.0,-6,,1.1716,65.3523
a-027,IR04,347.0,-13,,1.2028,65.3523
a-011,IR05,123000.0,-21,,1.4268,65.3523
a-023,IR06,111.0,-40,,1.377,65.3523
a-022,IR07,259000.0,-44,,0.594,65.3523
a-021,IR08,381000.0,-42,,0.8375,65.3523
a-020,IR09,603.0,-45,,1.008,65.3523
a-004,IR10,405.0,-69,,1.2387,65.3523
