Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,1150.0,-44,184.55567899755405,1.7272,66.9444
a-025,IR02,962.0,-16,562.0509246617805,0.8103,66.9444
a-026,IR03,364.0,-32,950.3768679266824,1.1716,66.9444
a-027,IR04,998.0,-69,213.75590809632524,1.2028,66.9444
a-011,IR05,1060.0,-68,198.80420952749512,1.4268,66.9444
a-023,IR06,806.0,-40,106.03343642561,1.377,66.9444
a-022,IR07,882.0,-41,0.0,0.594,66.9444
a-021,IR08,945.0,-38,156.03673938003004,0.8375,66.9444
a-020,IR09,1490.0,-40,81.524725274774,1.008,66.9444
a-004,IR10,1710.0,-44,72.19777022245503,1.2387,66.9444
a-028,PT01,65100.0,-37,3.249185182287776,3.2472,66.9444
a-029,PT02,2600.0,-32,13.8245430661869,2.1784,66.9444
a-030,PT03,1190.0,-20,77.82010305511736,2.0868,66.9444
a-031,PT04,940.0,-30,51.77334408500406,2.3458,66.9444
a-015,PT05,1360.0,-38,38.61428575938958,2.0832,66.9444
a-019,PT06,1000.0,-38,39.20180871609593,2.6302,66.9444
a-018,PT07,1240.0,-35,37.71626171836168,2.1168,66.9444
a-017,PT08,1640.0,-40,60.557523469615965,1.7199,66.9444
a-016,PT09,574.0,-61,72.67675075391841,1.607,66.9444
a-000,PT10,635.0,-64,27.053839320665645,2.8304,66.9444
