Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,699.0,-30,66.4792,217.04891027560356,1.7272
a-025,IR02,591.0,-39,66.4792,498.1032378292404,0.8103
a-026,IR03,595.0,-35,66.4792,392.2971872787255,1.1716
a-027,IR04,860.0,-38,66.4792,277.9435538465564,1.2028
a-011,IR05,807.0,-38,66.4792,94.63080373522982,1.4268
a-023,IR06,643.0,-33,66.4792,327.0301472915981,1.377
a-022,IR07,1130.0,-32,66.4792,0.0,0.594
a-021,IR08,826.0,-32,66.4792,438.1936471489416,0.8375
a-020,IR09,480.0,-36,66.4792,62.53815628823816,1.008
a-004,IR10,577.0,-37,66.4792,282.61040510564914,1.2387
a-028,PT01,1430.0,-32,66.4792,0.0,3.2472
a-029,PT02,471.0,-45,66.4792,81.74603636194655,2.1784
a-030,PT03,519.0,-41,66.4792,82.20823427092199,2.0868
a-031,PT04,835.0,-28,66.4792,123.50521003569858,2.3458
a-015,PT05,859.0,-32,66.4792,131.67276272114927,2.0832
a-019,PT06,270.0,-43,66.4792,164.87485596300232,2.6302
a-018,PT07,406.0,-43,66.4792,135.5947293447576,2.1168
a-017,PT08,907.0,-31,66.4792,177.74013970122445,1.7199
a-016,PT09,222.0,-30,66.4792,229.9076157197116,1.607
a-000,PT10,516.0,-42,66.4792,118.42177624192443,2.8304
