Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,1940.0,-32,65.8808,82.25011183557992,1.7272
d-025,IR02,507.0,-41,65.8808,317.229705996864,0.8103
d-026,IR03,494.0,-40,65.8808,179.81983874782532,1.1716
d-027,IR04,918.0,-40,65.8808,172.04196292963434,1.2028
d-011,IR05,1430.0,-33,65.8808,131.69106427429614,1.4268
d-023,IR06,891.0,-36,65.8808,319.19744642047374,1.377
d-022,IR07,1040.0,-31,65.8808,0.0,0.594
d-021,IR08,878.0,-33,65.8808,428.5742084882919,0.8375
d-020,IR09,658.0,-39,65.8808,275.3153096903356,1.008
d-004,IR10,2310.0,-41,65.8808,63.95516829606599,1.2387
d-028,PT01,1320.0,-32,65.8808,0.0,3.2472
d-029,PT02,512.0,-43,65.8808,72.69772247386642,2.1784
d-030,PT03,834.0,-34,65.8808,75.04076908332364,2.0868
d-031,PT04,982.0,-32,65.8808,85.37373292265266,2.3458
d-015,PT05,934.0,-28,65.8808,165.96754499980017,2.0832
d-019,PT06,294.0,-44,65.8808,112.1100277058084,2.6302
d-018,PT07,422.0,-45,65.8808,175.65904566957923,2.1168
d-017,PT08,419.0,-44,65.8808,264.3474404271992,1.7199
d-016,PT09,339.0,-44,65.8808,350.2305618049524,1.607
d-000,PT10,995.0,-44,65.8808,155.8307477446138,2.8304
