Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,596.0,-47,206.3428374463145,1.7272,65.682
a-025,IR02,494.0,-45,658.5879873549527,0.8103,65.682
a-026,IR03,275.0,-30,459.04789417931113,1.1716,65.682
a-027,IR04,611.0,-51,468.4582128884314,1.2028,65.682
a-011,IR05,552.0,-57,73.43971909784011,1.4268,65.682
a-023,IR06,758.0,-32,263.6106611052249,1.377,65.682
a-022,IR07,65600.0,-29,0.0,0.594,65.682
a-021,IR08,782.0,-25,915.0401836979152,0.8375,65.682
a-020,IR09,388.0,-39,257.95392584518936,1.008,65.682
a-004,IR10,491.0,-46,140.73078853043873,1.2387,65.682
a-028,PT01,239.0,22,34.83819088031925,3.2472,65.682
a-029,PT02,564.0,-41,38.18075323797224,2.1784,65.682
a-030,PT03,534.0,-35,62.41754896323215,2.0868,65.682
a-031,PT04,843.0,-36,44.12819562111045,2.3458,65.682
a-015,PT05,2110.0,-39,31.500282434589693,2.0832,65.682
a-019,PT06,784.0,-48,40.64669779630728,2.6302,65.682
a-018,PT07,844.0,-54,47.58634222920264,2.1168,65.682
a-017,PT08,659.0,-66,39.41300386032445,1.7199,65.682
a-016,PT09,673.0,-59,80.2842203369368,1.607,65.682
a-000,PT10,732.0,-58,26.98381854154698,2.8304,65.682
