Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,2800.0,-29,63.0505,54.18658348629529,1.7272
d-025,IR02,5040.0,-30,63.0505,63.06068977301919,0.8103
d-026,IR03,533.0,-33,63.0505,189.5006395897273,1.1716
d-027,IR04,1890.0,-30,63.0505,86.37070700909818,1.2028
d-011,IR05,1410.0,-30,63.0505,122.45396698854368,1.4268
d-023,IR06,1390.0,-38,63.0505,57.99376730750576,1.377
d-022,IR07,3150.0,-38,63.0505,0.0,0.594
d-021,IR08,1220.0,-30,63.0505,6.531445337417652,0.8375
d-020,IR09,1380.0,-34,63.0505,213.0935629411341,1.008
d-004,IR10,3330.0,-43,63.0505,46.11023014568334,1.2387
d-028,PT01,1450.0,-28,63.0505,0.0,3.2472
d-029,PT02,675.0,-32,63.0505,107.48057001572508,2.1784
d-030,PT03,3670.0,-22,63.0505,76.21955979279171,2.0868
d-031,PT04,1250.0,-28,63.0505,141.07382765069292,2.3458
d-015,PT05,1200.0,-25,63.0505,240.1692169837449,2.0832
d-019,PT06,402.0,-45,63.0505,141.47798061571444,2.6302
d-018,PT07,572.0,-47,63.0505,152.09075083026804,2.1168
d-017,PT08,529.0,-40,63.0505,17.32062537923137,1.7199
d-016,PT09,503.0,-40,63.0505,192.32478784439965,1.607
d-000,PT10,636.0,-40,63.0505,127.72586628634603,2.8304
