Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,827.0,-30,65.6131,123.03299281472952,1.7272
d-025,IR02,576.0,-53,65.6131,607.7278297731015,0.8103
d-026,IR03,617.0,-36,65.6131,1003.7227197495074,1.1716
d-027,IR04,681.0,-38,65.6131,340.687027964803,1.2028
d-011,IR05,896.0,-26,65.6131,277.9691160932006,1.4268
d-023,IR06,369.0,-36,65.6131,274.50885709449665,1.377
d-022,IR07,1050.0,-31,65.6131,0.0,0.594
d-021,IR08,879.0,-31,65.6131,346.51915248935296,0.8375
d-020,IR09,679.0,-37,65.6131,313.2263486179853,1.008
d-004,IR10,1730.0,-35,65.6131,152.41986065195954,1.2387
d-028,PT01,72.7,156,65.6131,0.0,3.2472
d-029,PT02,341.0,-41,65.6131,142.7866836338413,2.1784
d-030,PT03,420.0,-36,65.6131,-21.82214948176353,2.0868
d-031,PT04,692.0,-34,65.6131,78.92574086303274,2.3458
d-015,PT05,676.0,-26,65.6131,225.67960186561083,2.0832
d-019,PT06,298.0,-45,65.6131,170.35849862253056,2.6302
d-018,PT07,401.0,-47,65.6131,140.8279446563288,2.1168
d-017,PT08,857.0,-52,65.6131,187.4622502086897,1.7199
d-016,PT09,323.0,-41,65.6131,241.25221387198312,1.607
d-000,PT10,1080.0,-45,65.6131,8.37439394268811,2.8304
