Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,2010.0,-32,65.948,82.98099191222119,1.7272
d-025,IR02,501.0,-41,65.948,319.4653452188008,0.8103
d-026,IR03,491.0,-39,65.948,190.8656382879957,1.1716
d-027,IR04,919.0,-41,65.948,158.7061125364343,1.2028
d-011,IR05,1400.0,-33,65.948,130.947939787534,1.4268
d-023,IR06,908.0,-38,65.948,339.1337541664581,1.377
d-022,IR07,1020.0,-31,65.948,0.0,0.594
d-021,IR08,862.0,-33,65.948,373.5269064109215,0.8375
d-020,IR09,635.0,-39,65.948,319.5589133089799,1.008
d-004,IR10,2280.0,-41,65.948,61.132328557854684,1.2387
d-028,PT01,1110.0,-31,65.948,0.0,3.2472
d-029,PT02,414.0,-45,65.948,108.23928642054295,2.1784
d-030,PT03,525.0,-35,65.948,131.48787084958155,2.0868
d-031,PT04,744.0,-33,65.948,109.81424778045216,2.3458
d-015,PT05,713.0,-28,65.948,202.62835282999825,2.0832
d-019,PT06,285.0,-43,65.948,124.295900282527,2.6302
d-018,PT07,396.0,-46,65.948,141.61199357052035,2.1168
d-017,PT08,379.0,-45,65.948,144.23915522803125,1.7199
d-016,PT09,336.0,-45,65.948,270.45139055086304,1.607
d-000,PT10,478.0,-44,65.948,137.12626199323284,2.8304
