Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,607.0,-48,188.4330352371319,1.7272,66.9325
a-025,IR02,477.0,-46,571.1252689496496,0.8103,66.9325
a-026,IR03,194.0,-34,427.0403830833431,1.1716,66.9325
a-027,IR04,558.0,-49,271.80466805847,1.2028,66.9325
a-011,IR05,578.0,-50,182.55758335687665,1.4268,66.9325
a-023,IR06,993.0,-38,83.94401531656067,1.377,66.9325
a-022,IR07,1050.0,-40,0.0,0.594,66.9325
a-021,IR08,1120.0,-40,178.13934850629687,0.8375,66.9325
a-020,IR09,1950.0,-40,69.5213929588891,1.008,66.9325
a-004,IR10,2210.0,-43,54.71107958167155,1.2387,66.9325
a-028,PT01,49800.0,-36,3.15428786348113,3.2472,66.9325
a-029,PT02,555.0,-48,32.0856936802774,2.1784,66.9325
a-030,PT03,887.0,-26,50.38804569468231,2.0868,66.9325
a-031,PT04,860.0,-43,33.75198856735938,2.3458,66.9325
a-015,PT05,1270.0,-39,33.26442478117767,2.0832,66.9325
a-019,PT06,355.0,-78,35.70567900656801,2.6302,66.9325
a-018,PT07,728.0,-56,39.99018838305159,2.1168,66.9325
a-017,PT08,802.0,-70,54.59277728185599,1.7199,66.9325
a-016,PT09,638.0,-60,76.49657747355386,1.607,66.9325
a-000,PT10,660.0,-63,27.40204942190376,2.8304,66.9325
