Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,2270.0,-31,66.0118,41.52333923547374,1.7272
d-025,IR02,3480.0,-32,66.0118,67.88118089486348,0.8103
d-026,IR03,471.0,-36,66.0118,220.61226065025696,1.1716
d-027,IR04,1960.0,-33,66.0118,38.529253762294616,1.2028
d-011,IR05,1160.0,-31,66.0118,175.3298524560156,1.4268
d-023,IR06,899.0,-39,66.0118,87.90011731189621,1.377
d-022,IR07,2670.0,-37,66.0118,0.0,0.594
d-021,IR08,956.0,-30,66.0118,14.08522995879936,0.8375
d-020,IR09,1050.0,-33,66.0118,406.3644688643221,1.008
d-004,IR10,2740.0,-42,66.0118,41.655011094777386,1.2387
d-028,PT01,1080.0,-28,66.0118,0.0,3.2472
d-029,PT02,390.0,-38,66.0118,91.0932863919461,2.1784
d-030,PT03,1000.0,-29,66.0118,58.51801064572487,2.0868
d-031,PT04,742.0,-28,66.0118,165.93630900555186,2.3458
d-015,PT05,704.0,-24,66.0118,101.82900226324496,2.0832
d-019,PT06,656.0,-56,66.0118,371.0598199614754,2.6302
d-018,PT07,370.0,-47,66.0118,177.10075483183223,2.1168
d-017,PT08,893.0,-49,66.0118,34.6828080344664,1.7199
d-016,PT09,322.0,-44,66.0118,250.58637690875372,1.607
d-000,PT10,988.0,-47,66.0118,340.39766056482085,2.8304
