Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,140.0,-57,66.0776,151.47540814386713,1.7272
a-025,IR02,236.0,-62,66.0776,280.6494587316577,0.8103
a-026,IR03,284.0,-23,66.0776,400.73221513130807,1.1716
a-027,IR04,468.0,-34,66.0776,271.9425233774447,1.2028
a-011,IR05,217.0,-55,66.0776,182.95460028431725,1.4268
a-023,IR06,457.0,-35,66.0776,325.6801296009372,1.377
a-022,IR07,729.0,-33,66.0776,0.0,0.594
a-021,IR08,549.0,-38,66.0776,710.4615384625031,0.8375
a-020,IR09,884.0,-39,66.0776,213.6607990774532,1.008
a-004,IR10,990.0,-41,66.0776,54.65407281834827,1.2387
a-028,PT01,98200.0,-39,66.0776,0.0,3.2472
a-029,PT02,584.0,-52,66.0776,26.97481160292745,2.1784
a-030,PT03,681.0,-31,66.0776,77.12989067968698,2.0868
a-031,PT04,936.0,-41,66.0776,39.22941383510205,2.3458
a-015,PT05,1390.0,-38,66.0776,41.70228885600234,2.0832
a-019,PT06,512.0,-77,66.0776,28.37358570763549,2.6302
a-018,PT07,388.0,-70,66.0776,41.06372463515254,2.1168
a-017,PT08,834.0,-66,66.0776,48.62842594144248,1.7199
a-016,PT09,580.0,-67,66.0776,88.91188260664592,1.607
a-000,PT10,667.0,-66,66.0776,28.421226298064813,2.8304
