Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,5080.0,-27,66.1185,33.54432428183693,1.7272
d-025,IR02,11300.0,-25,66.1185,33.54015027264891,0.8103
d-026,IR03,1070.0,-33,66.1185,398.5892621092634,1.1716
d-027,IR04,2210.0,-27,66.1185,122.45296419965544,1.2028
d-007,IR05,2100.0,-34,66.1185,113.959964201782,1.4268
d-028,IR06,22500.0,-28,66.1185,18.21866505961917,1.377
d-029,IR07,7890.0,-25,66.1185,0.0,0.594
d-030,IR08,12800.0,-22,66.1185,53.36021327521648,0.8375
d-031,IR09,3660.0,-21,66.1185,136.5074876104288,1.008
d-006,IR10,8280.0,-32,66.1185,26.74876266060865,1.2387
d-008,PT01,5710.0,-34,66.1185,0.0,3.2472
d-009,PT02,3090.0,-29,66.1185,35.80433063080908,2.1784
d-010,PT03,44600.0,-26,66.1185,4.116067892850134,2.0868
d-011,PT04,3180.0,-29,66.1185,28.98821845502265,2.3458
d-005,PT05,3310.0,-33,66.1185,33.051625793566615,2.0832
d-012,PT06,957.0,-67,66.1185,47.481714049645255,2.6302
d-013,PT07,1140.0,-63,66.1185,46.18909529623552,2.1168
d-014,PT08,1210.0,-57,66.1185,73.31216510272878,1.7199
d-015,PT09,990.0,-50,66.1185,84.81896228884781,1.607
d-004,PT10,934.0,-70,66.1185,43.763860503543,2.8304
