Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,3970.0,-25,66.0124,49.99761599869773,1.7272
d-025,IR02,9180.0,-23,66.0124,52.58649779197621,0.8103
d-026,IR03,384.0,-28,66.0124,338.51684435104534,1.1716
d-027,IR04,2300.0,-28,66.0124,147.09268117980835,1.2028
d-011,IR05,1470.0,-28,66.0124,127.38409847325092,1.4268
d-023,IR06,10500.0,-31,66.0124,10.696306143297258,1.377
d-022,IR07,7740.0,-40,66.0124,0.0,0.594
d-021,IR08,9640.0,-28,66.0124,42.748388236331074,0.8375
d-020,IR09,6070.0,-35,66.0124,50.81908831908761,1.008
d-004,IR10,11200.0,-40,66.0124,16.905047110317344,1.2387
d-028,PT01,5390.0,-30,66.0124,0.0,3.2472
d-029,PT02,2810.0,-25,66.0124,38.0132947809615,2.1784
d-030,PT03,29800.0,-21,66.0124,7.158324945040746,2.0868
d-031,PT04,5450.0,-24,66.0124,35.23909286507292,2.3458
d-015,PT05,5610.0,-24,66.0124,49.55632997616361,2.0832
d-019,PT06,833.0,-68,66.0124,52.25089983351284,2.6302
d-018,PT07,877.0,-68,66.0124,49.53013256584861,2.1168
d-017,PT08,905.0,-68,66.0124,73.85673934378444,1.7199
d-016,PT09,593.0,-58,66.0124,97.78822949782725,1.607
d-000,PT10,781.0,-70,66.0124,49.64690087453851,2.8304
