Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,439.0,-42,,,65.3
A-025,IR02,285.0,-20,,,65.3
A-026,IR03,153.0,-25,,,65.3
A-027,IR04,405.0,-33,,,65.3
A-011,IR05,362.0,-38,,,65.3
A-023,IR06,900.0,-38,,,65.3
A-022,IR07,941.0,-40,,,65.3
A-021,IR08,55600.0,-34,,,65.3
A-020,IR09,1720.0,-41,,,65.3
A-004,IR10,1890.0,-44,,,65.3
A-028,PT01,31600.0,-35,,,65.3
A-029,PT02,504.0,-49,,,65.3
A-030,PT03,639.0,-31,,,65.3
A-031,PT04,775.0,-44,,,65.3
A-015,PT05,1250.0,-40,,,65.3
A-019,PT06,372.0,-73,,,65.3
A-018,PT07,246.0,-59,,,65.3
A-017,PT08,732.0,-68,,,65.3
A-016,PT09,705.0,-61,,,65.3
A-000,PT10,732.0,-61,,,65.3
