Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,504.0,-60,186.82972886313632,1.7272,65.6354
a-025,IR02,415.0,-44,1404.9877063592526,0.8103,65.6354
a-026,IR03,227.0,-59,480.3862349099357,1.1716,65.6354
a-027,IR04,487.0,-35,278.6672725932349,1.2028,65.6354
a-011,IR05,30400.0,-28,101.71497272000258,1.4268,65.6354
a-023,IR06,864.0,-40,132.00373143952555,1.377,65.6354
a-022,IR07,43300.0,-28,0.0,0.594,65.6354
a-021,IR08,1030.0,-40,1165.3272101046784,0.8375,65.6354
a-020,IR09,1690.0,-42,266.8695683402031,1.008,65.6354
a-004,IR10,1920.0,-45,116.04597872459296,1.2387,65.6354
a-028,PT01,745.0,-40,29.26677379690317,3.2472,65.6354
a-029,PT02,517.0,-50,36.58814722250068,2.1784,65.6354
a-030,PT03,450.0,-39,41.21253004231553,2.0868,65.6354
a-031,PT04,675.0,-47,38.22161156546462,2.3458,65.6354
a-015,PT05,1920.0,-41,27.589192764041783,2.0832,65.6354
a-019,PT06,399.0,-67,42.491106126729925,2.6302,65.6354
a-018,PT07,415.0,-60,39.19185195446255,2.1168,65.6354
a-017,PT08,770.0,-65,47.09378820561335,1.7199,65.6354
a-016,PT09,772.0,-52,68.19411064418424,1.607,65.6354
a-000,PT10,775.0,-51,8.778318911161147,2.8304,65.6354
