Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,91.5,-55,,,65.2
A-025,IR02,374.0,-22,,,65.2
A-026,IR03,105.0,-19,,,65.2
A-027,IR04,354.0,-33,,,65.2
A-011,IR05,198000.0,-28,,,65.2
A-023,IR06,192.0,-26,,,65.2
A-022,IR07,174000.0,-28,,,65.2
A-021,IR08,311.0,-32,,,65.2
A-020,IR09,345.0,-43,,,65.2
A-004,IR10,502.0,-68,,,65.2
A-028,PT01,25100.0,-33,,,65.2
A-029,PT02,5310.0,-32,,,65.2
A-030,PT03,5280.0,-30,,,65.2
A-031,PT04,10300.0,-31,,,65.2
A-015,PT05,11700.0,-32,,,65.2
A-019,PT06,433.0,-73,,,65.2
A-018,PT07,311.0,-69,,,65.2
A-017,PT08,593.0,-66,,,65.2
A-016,PT09,667.0,-60,,,65.2
A-000,PT10,646.0,-60,,,65.2
