Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,274.0,-23,,,65.2
A-025,IR02,291.0,-31,,,65.2
A-026,IR03,383.0,-24,,,65.2
A-027,IR04,367.0,-38,,,65.2
A-011,IR05,202000.0,-28,,,65.2
A-023,IR06,173.0,-30,,,65.2
A-022,IR07,169000.0,-28,,,65.2
A-021,IR08,92500.0,-31,,,65.2
A-020,IR09,321.0,-41,,,65.2
A-004,IR10,501.0,-66,,,65.2
A-028,PT01,23000.0,-32,,,65.2
A-029,PT02,5210.0,-31,,,65.2
A-030,PT03,5270.0,-30,,,65.2
A-031,PT04,10300.0,-31,,,65.2
A-015,PT05,11700.0,-32,,,65.2
A-019,PT06,439.0,-72,,,65.2
A-018,PT07,289.0,-64,,,65.2
A-017,PT08,617.0,-68,,,65.2
A-016,PT09,662.0,-61,,,65.2
A-000,PT10,668.0,-61,,,65.2
