Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,463.0,-44,-22.00686452654891,1.7272,65.3887
a-025,IR02,422.0,-30,847.3894558967551,0.8103,65.3887
a-026,IR03,334.0,-36,321.3915224413772,1.1716,65.3887
a-027,IR04,659.0,-33,332.82383839434607,1.2028,65.3887
a-011,IR05,681.0,-52,61.240108262515164,1.4268,65.3887
a-023,IR06,779.0,-31,187.43634652894772,1.377,65.3887
a-022,IR07,96600.0,-30,10.05913973169514,0.594,65.3887
a-021,IR08,423.0,-27,473.3950158709209,0.8375,65.3887
a-020,IR09,562.0,-33,177.04987320369796,1.008,65.3887
a-004,IR10,671.0,-40,108.56338076174364,1.2387,65.3887
a-028,PT01,1330.0,-25,47.07487634316283,3.2472,65.3887
a-029,PT02,328.0,-52,43.09361649291661,2.1784,65.3887
a-030,PT03,343.0,-42,53.68847233678577,2.0868,65.3887
a-031,PT04,386.0,-44,53.853859926406585,2.3458,65.3887
a-015,PT05,1670.0,-44,33.91740148293343,2.0832,65.3887
a-019,PT06,448.0,-73,25.4302485271526,2.6302,65.3887
a-018,PT07,822.0,-41,36.60807503975796,2.1168,65.3887
a-017,PT08,602.0,-64,27.744606499199893,1.7199,65.3887
a-016,PT09,558.0,-58,89.67976640659802,1.607,65.3887
a-000,PT10,698.0,-59,26.37308510829357,2.8304,65.3887
