Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,105.0,-61,,,65.2
A-025,IR02,328.0,-50,,,65.2
A-026,IR03,427.0,-16,,,65.2
A-027,IR04,390.0,-17,,,65.2
A-011,IR05,196000.0,-28,,,65.2
A-023,IR06,420.0,-33,,,65.2
A-022,IR07,177000.0,-28,,,65.2
A-021,IR08,180000.0,-31,,,65.2
A-020,IR09,331.0,-41,,,65.2
A-004,IR10,497.0,-66,,,65.2
A-028,PT01,25100.0,-33,,,65.2
A-029,PT02,5300.0,-32,,,65.2
A-030,PT03,5310.0,-31,,,65.2
A-031,PT04,10300.0,-31,,,65.2
A-015,PT05,11700.0,-32,,,65.2
A-019,PT06,430.0,-72,,,65.2
A-018,PT07,288.0,-64,,,65.2
A-017,PT08,608.0,-67,,,65.2
A-016,PT09,667.0,-61,,,65.2
A-000,PT10,669.0,-60,,,65.2
