Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,109.0,-51,,,65.3
A-025,IR02,117.0,-33,,,65.3
A-026,IR03,96.7,-17,,,65.3
A-027,IR04,165.0,-36,,,65.3
A-011,IR05,520.0,-59,,,65.3
A-023,IR06,300.0,-30,,,65.3
A-022,IR07,87900.0,-30,,,65.3
A-021,IR08,387.0,-28,,,65.3
A-020,IR09,563.0,-33,,,65.3
A-004,IR10,650.0,-39,,,65.3
A-028,PT01,1680.0,-22,,,65.3
A-029,PT02,518.0,-37,,,65.3
A-030,PT03,539.0,-32,,,65.3
A-031,PT04,810.0,-30,,,65.3
A-015,PT05,2020.0,-38,,,65.3
A-019,PT06,188.0,-56,,,65.3
A-018,PT07,248.0,-63,,,65.3
A-017,PT08,573.0,-65,,,65.3
A-016,PT09,620.0,-60,,,65.3
A-000,PT10,177.0,-176,,,65.3
