Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,246.0,-5,,,65.2
A-025,IR02,415.0,-26,,,65.2
A-026,IR03,350.0,-40,,,65.2
A-027,IR04,395.0,-37,,,65.2
A-011,IR05,202000.0,-27,,,65.2
A-023,IR06,419.0,-19,,,65.2
A-022,IR07,165000.0,-26,,,65.2
A-021,IR08,303.0,-30,,,65.2
A-020,IR09,323.0,-41,,,65.2
A-004,IR10,496.0,-67,,,65.2
A-028,PT01,22400.0,-31,,,65.2
A-029,PT02,5390.0,-33,,,65.2
A-030,PT03,5350.0,-31,,,65.2
A-031,PT04,10300.0,-32,,,65.2
A-015,PT05,11700.0,-33,,,65.2
A-019,PT06,433.0,-73,,,65.2
A-018,PT07,292.0,-63,,,65.2
A-017,PT08,623.0,-67,,,65.2
A-016,PT09,676.0,-61,,,65.2
A-000,PT10,668.0,-60,,,65.2
