Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,301.0,-27,,,65.2
A-025,IR02,357.0,-29,,,65.2
A-026,IR03,244.0,-28,,,65.2
A-027,IR04,379.0,-24,,,65.2
A-011,IR05,197000.0,-28,,,65.2
A-023,IR06,174.0,-28,,,65.2
A-022,IR07,171000.0,-29,,,65.2
A-021,IR08,284.0,-26,,,65.2
A-020,IR09,676.0,-39,,,65.2
A-004,IR10,500.0,-66,,,65.2
A-028,PT01,25400.0,-33,,,65.2
A-029,PT02,5440.0,-32,,,65.2
A-030,PT03,5340.0,-30,,,65.2
A-031,PT04,10400.0,-31,,,65.2
A-015,PT05,11800.0,-32,,,65.2
A-019,PT06,447.0,-74,,,65.2
A-018,PT07,664.0,-53,,,65.2
A-017,PT08,616.0,-68,,,65.2
A-016,PT09,675.0,-61,,,65.2
A-000,PT10,659.0,-60,,,65.2
