Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,756.0,-95,229.62386222891308,1.7272,65.563
a-025,IR02,400.0,-56,551.7899353519995,0.8103,65.563
a-026,IR03,365.0,-56,358.07625855421986,1.1716,65.563
a-027,IR04,558.0,-40,260.6791844670209,1.2028,65.563
a-011,IR05,542.0,-56,76.96351167755058,1.4268,65.563
a-023,IR06,890.0,-39,158.28417945342113,1.377,65.563
a-022,IR07,52300.0,-28,0.0,0.594,65.563
a-021,IR08,104000.0,-33,454.2824339839542,0.8375,65.563
a-020,IR09,1710.0,-42,291.2851037851052,1.008,65.563
a-004,IR10,1960.0,-45,117.37190448743404,1.2387,65.563
a-028,PT01,1100.0,-32,28.83784840881648,3.2472,65.563
a-029,PT02,793.0,-38,36.04124841217026,2.1784,65.563
a-030,PT03,768.0,-29,39.13598332999567,2.0868,65.563
a-031,PT04,1310.0,-30,35.7373383356524,2.3458,65.563
a-015,PT05,2550.0,-35,31.02769633319276,2.0832,65.563
a-019,PT06,416.0,-65,43.2461994700604,2.6302,65.563
a-018,PT07,447.0,-64,33.850904386619185,2.1168,65.563
a-017,PT08,736.0,-64,45.68629927240461,1.7199,65.563
a-016,PT09,758.0,-53,68.7520324387196,1.607,65.563
a-000,PT10,841.0,-53,-1.257636865676978,2.8304,65.563
