Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,217.0,-36,,1.7272,65.2685
a-025,IR02,116.0,-26,,0.8103,65.2685
a-026,IR03,304.0,-40,,1.1716,65.2685
a-027,IR04,420.0,-44,,1.2028,65.2685
a-011,IR05,56700.0,-22,,1.4268,65.2685
a-023,IR06,297.0,-29,,1.377,65.2685
a-022,IR07,58100.0,-28,,0.594,65.2685
a-021,IR08,414.0,-26,,0.8375,65.2685
a-020,IR09,567.0,-34,,1.008,65.2685
a-004,IR10,669.0,-40,,1.2387,65.2685
a-028,PT01,3000.0,-22,,3.2472,65.2685
a-029,PT02,442.0,-52,,2.1784,65.2685
a-030,PT03,339.0,-45,,2.0868,65.2685
a-031,PT04,558.0,-56,,2.3458,65.2685
a-015,PT05,1670.0,-44,,2.0832,65.2685
a-019,PT06,461.0,-75,,2.6302,65.2685
a-018,PT07,289.0,-67,,2.1168,65.2685
a-017,PT08,596.0,-67,,1.7199,65.2685
a-016,PT09,623.0,-60,,1.607,65.2685
a-000,PT10,75.2,163,,2.8304,65.2685
