Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,86.9,-42,,,65.4
A-025,IR02,350.0,-13,,,65.4
A-026,IR03,111.0,-23,,,65.4
A-027,IR04,410.0,-31,,,65.4
A-011,IR05,58600.0,-23,,,65.4
A-023,IR06,689.0,-22,,,65.4
A-022,IR07,54700.0,-28,,,65.4
A-021,IR08,39200.0,-26,,,65.4
A-020,IR09,569.0,-33,,,65.4
A-004,IR10,671.0,-41,,,65.4
A-028,PT01,2960.0,-23,,,65.4
A-029,PT02,312.0,-52,,,65.4
A-030,PT03,335.0,-44,,,65.4
A-031,PT04,500.0,-54,,,65.4
A-015,PT05,1650.0,-45,,,65.4
A-019,PT06,446.0,-72,,,65.4
A-018,PT07,304.0,-68,,,65.4
A-017,PT08,579.0,-68,,,65.4
A-016,PT09,646.0,-61,,,65.4
A-000,PT10,683.0,-59,,,65.4
