Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,74796.61,-49.07117,64.9486
7.338996338110348,48143.2,-47.85386,64.9767
10.772173450159421,37946.38,-47.25099,65.0021
15.811388300841895,30777.19,-45.41022,65.0273
23.207944168063896,25184.35,-43.59993,65.0441
34.06460345289807,20989.01,-41.45066,65.0799
49.99999999999999,17620.11,-39.18581,65.0984
73.38996338110344,15026.8,-37.07084,65.1176
107.72173450159421,13016.03,-35.07779,65.1502
158.11388300841895,11342.35,-33.58916,65.1648
232.07944168063884,9990.437,-32.75642,65.1944
340.6460345289807,8762.984,-32.22266,65.1848
499.99999999999994,7702.956,-31.87489,65.2019
733.8996338110344,6754.908,-31.78798,65.2466
1077.217345015941,5920.058,-31.60767,65.2479
1581.1388300841895,5191.241,-31.36707,65.3086
2320.794416806388,4558.678,-31.433,65.3309
3406.4603452898036,4009.934,-31.45409,65.3431
4999.999999999999,3539.037,-31.81546,65.3606
7338.996338110344,3127.605,-32.50573,65.3932
10772.17345015941,2753.637,-33.80369,65.4161
15811.388300841894,2415.244,-35.8197,65.4215
23207.944168063907,2090.025,-38.46566,65.4368
34064.60345289804,1781.867,-41.67697,65.4392
49999.99999999999,1485.696,-45.22616,65.4549
