Time (s),Voltage (V),Current (A)
0.09217715263366699,0.0,5.449995e-07
0.12903353691101074,0.01,7.268781e-07
0.16624468803405762,0.02,7.761711e-07
0.22995511054992676,0.03,7.589597e-07
0.2940472412109375,0.04,7.327836e-07
0.3578275203704834,0.05,7.662358e-07
0.41425926208496094,0.06,7.35044e-07
0.48145607948303226,0.07,7.711721e-07
0.5370791053771973,0.08,7.409251e-07
0.6007304000854492,0.09,7.915078e-07
0.6633738994598388,0.1,7.56871e-07
0.7263256740570069,0.11,8.077774e-07
0.7819918537139893,0.12,7.548751e-07
0.8511637306213379,0.13,8.001379e-07
0.9061406421661378,0.14,7.580603e-07
0.9694092750549317,0.15,8.160789e-07
1.0332169723510742,0.16,7.737615e-07
1.096407642364502,0.17,8.213726e-07
1.1525976276397705,0.18,7.70434e-07
1.221249752044678,0.19,8.185086e-07
1.2771986961364745,0.2,7.714078e-07
1.3406783294677735,0.21,8.409083e-07
1.403795566558838,0.22,7.914238e-07
1.4669828987121583,0.23,8.443335e-07
1.523710994720459,0.24,7.858771e-07
1.5926556587219238,0.25,8.396552e-07
1.6490235042572021,0.26,7.860135e-07
1.7122492218017578,0.27,8.610367e-07
1.7755443191528322,0.28,8.189419e-07
1.839670066833496,0.29,8.620946e-07
1.89593563079834,0.3,8.103881e-07
1.9642098617553712,0.31,8.677916e-07
2.0202682399749756,0.32,8.17184e-07
2.08444953918457,0.33,8.841258e-07
2.1469180393218994,0.34,8.636785e-07
2.2237712860107424,0.35000000000000003,8.555828e-07
2.2789205741882324,0.36,8.122944e-07
2.3430489444732667,0.37,8.883947e-07
2.3990377044677738,0.38,8.68804e-07
2.4665132331848145,0.39,9.113535e-07
2.52355055809021,0.4,8.986351e-07
2.6064758491516113,0.41000000000000003,8.739087e-07
2.6622514629364016,0.42,8.669049e-07
2.7274007415771484,0.43,9.264116e-07
2.7829436588287355,0.44,9.654901e-07
2.847201728820801,0.45,9.465558e-07
2.8830324363708497,0.46,1.007357e-06
2.923733320236206,0.47000000000000003,1.056893e-06
2.966941890716553,0.48,1.100612e-06
3.0032947349548342,0.49,1.127053e-06
3.038395404815674,0.5,1.18868e-06
3.0739617061614988,0.51,1.225777e-06
3.1096972846984863,0.52,1.262218e-06
3.147346649169922,0.53,1.295151e-06
3.1882830905914306,0.54,1.329496e-06
3.230640506744385,0.55,1.361407e-06
3.266807622909546,0.56,1.378837e-06
3.303659954071045,0.5700000000000001,1.430126e-06
3.339195737838745,0.58,1.472727e-06
3.375099878311157,0.59,1.521082e-06
3.410575819015503,0.6,1.580783e-06
3.4491850566864013,0.61,1.62077e-06
3.4921027565002443,0.62,1.664749e-06
3.52755223274231,0.63,1.695201e-06
3.564380006790161,0.64,1.752202e-06
3.6001985549926756,0.65,1.819155e-06
3.6358835887908936,0.66,1.893207e-06
3.6756811046600344,0.67,1.960163e-06
3.71850248336792,0.68,2.024174e-06
3.756297760009766,0.6900000000000001,2.070519e-06
3.7923168182373046,0.7000000000000001,2.163496e-06
3.829043264389038,0.71,2.250306e-06
3.8652625942230223,0.72,2.333669e-06
3.905855951309204,0.73,2.415923e-06
3.9475465106964114,0.74,2.518448e-06
3.990344762802124,0.75,2.598146e-06
4.026010961532593,0.76,2.675551e-06
4.063355865478515,0.77,2.805645e-06
4.099860582351685,0.78,2.914806e-06
4.13678277015686,0.79,3.032781e-06
4.171694135665893,0.8,3.161387e-06
4.212915725708008,0.8,2.745104e-06
4.256281652450562,0.79,2.030833e-06
4.292147407531738,0.78,1.547013e-06
4.328432779312134,0.77,1.207292e-06
4.384436559677124,0.76,1.048507e-06
4.421453638076782,0.75,7.631946e-07
4.458391084671021,0.74,6.163228e-07
4.495089159011841,0.73,4.970531e-07
4.531494932174683,0.72,4.037626e-07
4.576359796524049,0.71,3.339787e-07
4.617352981567382,0.7,2.682709e-07
4.662476291656494,0.69,2.171403e-07
4.701530895233154,0.6799999999999999,1.732664e-07
4.740351371765136,0.6699999999999999,1.369373e-07
4.778760576248169,0.6599999999999999,1.092928e-07
4.816492671966553,0.6499999999999999,8.462681e-08
4.854835119247436,0.6399999999999999,6.358482e-08
4.894662437438965,0.6299999999999999,4.641248e-08
4.935032634735108,0.6199999999999999,2.834601e-08
4.9809043407440186,0.6099999999999999,1.751631e-08
5.018417329788209,0.5999999999999999,8.255656e-09
5.056383075714111,0.5899999999999999,-5.285943e-09
5.094961318969727,0.5799999999999998,-1.318137e-08
5.132675533294678,0.5699999999999998,-2.126574e-08
5.171092367172241,0.5599999999999998,-2.701324e-08
5.2127476406097415,0.5499999999999998,-2.675874e-08
5.254380741119385,0.5399999999999998,-3.612523e-08
5.3000230884552,0.5299999999999998,-4.338321e-08
5.3385512638092045,0.5199999999999998,-4.630569e-08
5.376784038543701,0.5099999999999998,-5.296024e-08
5.414046211242676,0.4999999999999998,-5.787401e-08
5.4524222755432135,0.48999999999999977,-6.128122e-08
5.489990339279175,0.47999999999999976,-6.494357e-08
5.530688362121582,0.46999999999999975,-7.033874e-08
5.576333332061768,0.45999999999999974,-7.466305e-08
5.61515380859375,0.44999999999999973,-7.623481e-08
5.654136648178101,0.4399999999999997,-8.038334e-08
5.692462644577026,0.4299999999999997,-8.396555e-08
5.731444292068481,0.4199999999999997,-8.790686e-08
5.7693029880523685,0.4099999999999997,-9.24257e-08
5.809446449279785,0.3999999999999997,-9.524569e-08
5.850724306106567,0.3899999999999997,-1.002185e-07
5.895739135742188,0.37999999999999967,-1.023373e-07
5.934847383499146,0.36999999999999966,-1.050362e-07
5.973288536071777,0.35999999999999965,-1.159855e-07
6.011554927825928,0.34999999999999964,-1.142599e-07
6.049484195709228,0.33999999999999964,-1.17408e-07
6.086754236221314,0.3299999999999996,-1.230038e-07
6.129094963073731,0.3199999999999996,-1.210212e-07
6.170660352706909,0.3099999999999996,-1.286792e-07
6.215623922348023,0.2999999999999996,-1.341427e-07
6.2539668464660645,0.2899999999999996,-1.33382e-07
6.2921788787841795,0.2799999999999996,-1.503659e-07
6.330836992263794,0.2699999999999996,-1.462538e-07
6.36800332069397,0.25999999999999956,-1.542665e-07
6.405808610916138,0.24999999999999956,-1.587111e-07
6.448153867721558,0.23999999999999955,-1.574899e-07
6.4887212371826175,0.22999999999999954,-1.660549e-07
6.533804969787598,0.21999999999999953,-1.704727e-07
6.5720305919647215,0.20999999999999952,-1.77359e-07
6.609445352554322,0.1999999999999995,-1.838593e-07
6.64784502029419,0.1899999999999995,-1.927154e-07
6.6856951332092285,0.1799999999999995,-1.984848e-07
6.724870853424072,0.16999999999999948,-2.047528e-07
6.766106033325196,0.15999999999999948,-2.119994e-07
6.81059944152832,0.14999999999999947,-2.203813e-07
6.848138656616211,0.13999999999999946,-2.265728e-07
6.885493097305298,0.12999999999999945,-2.374041e-07
6.923678903579712,0.11999999999999944,-2.453596e-07
6.961690902709961,0.10999999999999943,-2.581327e-07
7.001095266342163,0.09999999999999942,-2.654887e-07
7.0425581359863285,0.08999999999999941,-2.751932e-07
7.088380250930786,0.0799999999999994,-2.893011e-07
7.125757579803467,0.0699999999999994,-2.929509e-07
7.164492464065552,0.05999999999999939,-3.233544e-07
7.2017138671875,0.04999999999999938,-3.269581e-07
