Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,38892.66,-66.0305,67.8578
7.338996338110348,30792.17,-67.75743,67.8586
10.772173450159421,23221.15,-66.7591,67.832
15.811388300841895,17675.87,-65.08147,67.8166
23.207944168063896,13473.21,-62.87414,67.7946
34.06460345289807,10376.91,-60.28145,67.7693
49.99999999999999,8111.954,-57.44397,67.7698
73.38996338110344,6444.151,-54.52068,67.7592
107.72173450159421,5176.141,-51.73984,67.7208
158.11388300841895,4218.126,-49.29703,67.7095
232.07944168063884,3488.691,-47.00207,67.7093
340.6460345289807,2915.095,-45.15496,67.6798
499.99999999999994,2442.597,-43.75745,67.6793
733.8996338110344,2058.405,-42.97767,67.679
1077.217345015941,1730.5,-42.66616,67.6584
1581.1388300841895,1467.83,-42.99024,67.6322
2320.794416806388,1236.996,-43.58187,67.6356
3406.4603452898036,1038.221,-44.80028,67.6085
4999.999999999999,862.1279,-46.37545,67.5956
7338.996338110344,707.3726,-48.16939,67.5986
10772.17345015941,575.4056,-50.20287,67.5637
15811.388300841894,459.4457,-51.95021,67.5756
23207.944168063907,362.32,-53.24411,67.5882
34064.60345289804,284.1301,-53.94151,67.5711
49999.99999999999,220.6443,-53.41967,67.5679
