Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,27142.98,-72.28702,66.9647
7.338996338110348,21211.75,-69.88025,66.9832
10.772173450159421,16075.95,-67.92381,66.9609
15.811388300841895,12342.39,-65.99934,66.9762
23.207944168063896,9456.342,-64.11773,66.98
34.06460345289807,7261.468,-62.10811,66.9596
49.99999999999999,5632.84,-59.90555,66.9514
73.38996338110344,4390.176,-57.43511,66.9657
107.72173450159421,3458.073,-54.64148,66.9661
158.11388300841895,2757.487,-51.48782,66.9592
232.07944168063884,2236.868,-48.07819,66.959
340.6460345289807,1842.944,-44.59837,66.9537
499.99999999999994,1550.377,-41.20136,66.9586
733.8996338110344,1327.838,-38.13989,66.9631
1077.217345015941,1153.22,-35.60758,66.9773
1581.1388300841895,1015.549,-33.79599,66.9712
2320.794416806388,900.6333,-32.83004,66.9856
3406.4603452898036,801.2346,-32.7227,66.9756
4999.999999999999,709.6483,-33.45401,66.994
7338.996338110344,623.1752,-34.86906,66.9817
10772.17345015941,539.6967,-36.8023,66.9615
15811.388300841894,459.2916,-38.89618,66.9755
23207.944168063907,383.6984,-40.71828,66.9638
34064.60345289804,315.6482,-41.77711,66.9615
49999.99999999999,257.1256,-41.65522,66.9643
