Time (s),Voltage (V),Current (A)
0.044936180114746094,0.0,-0.0001511891
0.09577155113220215,0.002,-2.626513e-05
0.12772417068481445,0.004,-1.211147e-05
0.18351364135742188,0.006,-7.988609e-06
0.2168741226196289,0.008,-5.085305e-06
0.2509171962738037,0.01,-3.904966e-06
0.28911662101745605,0.012,-3.272266e-06
0.32218432426452637,0.014,-2.471295e-06
0.3636460304260254,0.016,-1.99294e-06
0.3985474109649658,0.018000000000000002,-1.471338e-06
0.43236732482910156,0.02,-1.317819e-06
0.47012925148010254,0.022,-1.268326e-06
0.5495791435241699,0.024,-1.779021e-06
0.6308960914611816,0.026000000000000002,-1.537673e-06
0.7103471755981445,0.028,-1.309935e-06
0.7726788520812988,0.03,-9.170094e-07
0.8068883419036865,0.032,3.665545e-07
0.840850830078125,0.034,6.00778e-07
0.8824405670166016,0.036000000000000004,3.07093e-07
0.9166815280914307,0.038,8.116262e-07
0.9588751792907715,0.04,9.154509e-07
0.9929993152618408,0.042,9.597204e-07
1.035557508468628,0.044,1.046068e-06
1.070183515548706,0.046,1.050041e-06
1.1043846607208252,0.048,1.050114e-06
1.1428239345550537,0.05,9.17896e-07
1.2128205299377441,0.052000000000000005,9.793683e-10
1.267406702041626,0.054,9.898542e-08
1.3066797256469727,0.056,8.893612e-07
1.375499963760376,0.058,8.072134e-08
1.4294588565826416,0.06,2.030409e-07
1.4908959865570068,0.062,8.741682e-08
1.5475437641143799,0.064,2.678738e-07
1.609196424484253,0.066,1.386752e-07
1.6669142246246338,0.068,2.466547e-07
1.7262606620788574,0.07,2.074965e-07
1.7618536949157715,0.07200000000000001,1.05697e-06
1.802732229232788,0.074,1.06599e-06
1.8365299701690674,0.076,1.09115e-06
1.8779411315917969,0.078,1.179407e-06
1.9111928939819336,0.08,1.114788e-06
1.9459657669067383,0.082,1.179905e-06
2.0040111541748047,0.084,6.23429e-07
2.0654101371765137,0.08600000000000001,4.798429e-07
2.0997066497802734,0.088,1.138061e-06
2.1404781341552734,0.09,1.220298e-06
2.17447829246521,0.092,1.271776e-06
2.2079029083251953,0.094,1.352959e-06
2.2461040019989014,0.096,1.111402e-06
2.279975414276123,0.098,1.388287e-06
2.3200244903564453,0.1,1.448198e-06
2.3539485931396484,0.10200000000000001,1.547666e-06
2.387648582458496,0.10400000000000001,1.712681e-06
2.426865816116333,0.106,1.215696e-06
2.461421489715576,0.108,1.434691e-06
2.502431869506836,0.11,1.478692e-06
2.53678297996521,0.112,1.434273e-06
2.570294141769409,0.114,1.548182e-06
2.6087255477905273,0.116,1.275822e-06
2.6430697441101074,0.11800000000000001,1.695906e-06
2.6851208209991455,0.12,1.553903e-06
2.7176408767700195,0.122,1.635627e-06
2.7517266273498535,0.124,1.632444e-06
2.789271354675293,0.126,1.363809e-06
2.822941303253174,0.128,1.688761e-06
2.8644301891326904,0.13,1.66925e-06
2.8975367546081543,0.132,1.686614e-06
2.931436061859131,0.134,1.675372e-06
2.9693057537078857,0.136,1.421648e-06
3.002486228942871,0.138,1.684982e-06
3.0430476665496826,0.14,1.727053e-06
3.0768206119537354,0.14200000000000002,1.893359e-06
3.1118993759155273,0.14400000000000002,1.857881e-06
3.1504950523376465,0.146,1.443934e-06
3.1843364238739014,0.148,1.708297e-06
3.2256839275360107,0.15,1.743019e-06
3.258939027786255,0.152,1.684389e-06
3.2916057109832764,0.154,1.808866e-06
3.3312437534332275,0.156,1.388428e-06
3.3638978004455566,0.158,1.729394e-06
3.4053328037261963,0.16,1.772522e-06
3.4381725788116455,0.162,1.784824e-06
3.4710805416107178,0.164,1.851794e-06
3.511486530303955,0.166,1.396581e-06
3.545710802078247,0.168,1.690382e-06
3.586899995803833,0.17,1.785793e-06
3.620361566543579,0.17200000000000001,1.959968e-06
3.654721736907959,0.17400000000000002,1.933503e-06
3.6931686401367188,0.176,1.51476e-06
3.7271006107330322,0.178,1.767567e-06
3.768503427505493,0.18,1.799942e-06
3.8010318279266357,0.182,1.758307e-06
3.835118055343628,0.184,1.800231e-06
3.8728508949279785,0.186,1.529058e-06
3.9059908390045166,0.188,1.838989e-06
3.94803786277771,0.19,1.822659e-06
3.981491804122925,0.192,1.761716e-06
4.015520334243774,0.194,1.815796e-06
4.054553270339966,0.196,1.490409e-06
4.088267087936401,0.198,1.777261e-06
4.129770994186401,0.2,1.757218e-06
4.162853956222534,0.202,1.832709e-06
4.197555303573608,0.20400000000000001,1.92934e-06
4.237905502319336,0.20600000000000002,2.239191e-06
4.273349285125732,0.20800000000000002,1.950609e-06
4.314357757568359,0.21,1.835967e-06
4.348179578781128,0.212,1.889203e-06
4.380883693695068,0.214,1.820083e-06
4.4188690185546875,0.216,2.258338e-06
4.451862335205078,0.218,1.854584e-06
4.491448640823364,0.22,1.792789e-06
4.524356126785278,0.222,1.795342e-06
4.557474613189697,0.224,1.830842e-06
4.596277236938477,0.226,2.263077e-06
4.629570484161377,0.228,1.854179e-06
4.667524576187134,0.23,1.849268e-06
