Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,3530.0,-25,66.0342,57.95585772698845,1.7272
d-025,IR02,8380.0,-25,66.0342,55.60088074188486,0.8103
d-026,IR03,481.0,-23,66.0342,197.76490053439866,1.1716
d-027,IR04,2310.0,-28,66.0342,73.43231646483048,1.2028
d-011,IR05,1580.0,-26,66.0342,138.65282911704344,1.4268
d-023,IR06,5030.0,-31,66.0342,22.811304468483954,1.377
d-022,IR07,9420.0,-38,66.0342,0.0,0.594
d-021,IR08,3660.0,-32,66.0342,96.1360198420694,0.8375
d-020,IR09,3550.0,-32,66.0342,68.33204188973409,1.008
d-004,IR10,10000.0,-40,66.0342,20.60359919405654,1.2387
d-028,PT01,4980.0,-29,66.0342,0.0,3.2472
d-029,PT02,2550.0,-23,66.0342,45.43470776967712,2.1784
d-030,PT03,32400.0,-20,66.0342,7.617464292793391,2.0868
d-031,PT04,5040.0,-24,66.0342,33.3734759996586,2.3458
d-015,PT05,5170.0,-24,66.0342,36.10240922086537,2.0832
d-019,PT06,740.0,-68,66.0342,50.86446001747378,2.6302
d-018,PT07,420.0,-51,66.0342,69.84154060487133,2.1168
d-017,PT08,1140.0,-61,66.0342,58.48059144761759,1.7199
d-016,PT09,800.0,-58,66.0342,88.51827553098705,1.607
d-000,PT10,718.0,-65,66.0342,52.64205138605946,2.8304
