,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
0,d-024,IR01,490000.0,-30,65.7226,5.234062141283306,1.7272
1,d-025,IR02,721000.0,-36,65.7226,5.75087608625634,0.8103
2,d-026,IR03,29000.0,-25,65.7226,21.177558814415345,1.1716
3,d-027,IR04,103000.0,-25,65.7226,7.036649977295456,1.2028
4,d-007,IR05,31700.0,-28,65.7226,15.356163230497119,1.4268
5,d-028,IR06,1330000.0,-37,65.7226,61.32531003854535,1.377
6,d-029,IR07,9030.0,-28,65.7226,0.0,0.594
7,d-030,IR08,80600.0,-26,65.7226,-75.59127439727293,0.8375
8,d-031,IR09,570000.0,-34,65.7226,4.62295128243404,1.008
9,d-006,IR10,8680.0,-36,65.7226,18.22143334776418,1.2387
10,d-008,PT01,4020.0,-39,65.7226,0.0,3.2472
11,d-009,PT02,847.0,-35,65.7226,72.22497416495239,2.1784
12,d-010,PT03,84800.0,-27,65.7226,2.2374602980167615,2.0868
13,d-011,PT04,1100.0,-40,65.7226,37.18661136549837,2.3458
14,d-005,PT05,1460.0,-45,65.7226,58.084260379096015,2.0832
15,d-012,PT06,37400.0,-31,65.7226,2.6278765751731363,2.6302
16,d-013,PT07,37000.0,-31,65.7226,-840.4921797789177,2.1168
17,d-014,PT08,36800.0,-30,65.7226,55.22781835408866,1.7199
18,d-015,PT09,64100.0,-25,65.7226,5.1201008627312765,1.607
19,d-004,PT10,36900.0,-37,65.7226,18.37250510936207,2.8304
