Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,478.0,-42,66.3926,250.1023298900435,1.7272
a-025,IR02,474.0,-48,66.3926,442.68104830469963,0.8103
a-026,IR03,485.0,-42,66.3926,469.71706454462407,1.1716
a-027,IR04,446.0,-40,66.3926,279.73190760023243,1.2028
a-011,IR05,652.0,-42,66.3926,262.7466202888272,1.4268
a-023,IR06,560.0,-35,66.3926,169.2986148157572,1.377
a-022,IR07,1880.0,-32,66.3926,0.0,0.594
a-021,IR08,1530.0,-34,66.3926,164.11344765011276,0.8375
a-020,IR09,1080.0,-37,66.3926,192.74557879395692,1.008
a-004,IR10,1240.0,-39,66.3926,19.813864812657037,1.2387
a-028,PT01,1140.0,-45,66.3926,0.0,3.2472
a-029,PT02,554.0,-50,66.3926,30.271431109088496,2.1784
a-030,PT03,530.0,-40,66.3926,42.5260872695074,2.0868
a-031,PT04,1180.0,-35,66.3926,60.40091292457467,2.3458
a-015,PT05,1020.0,-39,66.3926,65.48400492982495,2.0832
a-019,PT06,383.0,-65,66.3926,76.68059239512088,2.6302
a-018,PT07,473.0,-60,66.3926,86.0944943678774,2.1168
a-017,PT08,661.0,-60,66.3926,95.93709776860712,1.7199
a-016,PT09,389.0,-57,66.3926,171.96002076937498,1.607
a-000,PT10,719.0,-55,66.3926,81.01280473923786,2.8304
