,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
0,d-024,IR01,145000.0,-27,65.8688,5.240008780447758,1.7272
1,d-025,IR02,702000.0,-32,65.8688,11.375930224551688,0.8103
2,d-026,IR03,29000.0,-26,65.8688,14.094369228707675,1.1716
3,d-027,IR04,125000.0,-27,65.8688,6.1851343847764095,1.2028
4,d-007,IR05,30100.0,-28,65.8688,13.629337153623723,1.4268
5,d-028,IR06,1330000.0,-36,65.8688,146.32329665028465,1.377
6,d-029,IR07,8980.0,-28,65.8688,0.0,0.594
7,d-030,IR08,76700.0,-26,65.8688,-1.7094470091379774,0.8375
8,d-031,IR09,612000.0,-34,65.8688,7.578941616949959,1.008
9,d-006,IR10,8450.0,-36,65.8688,34.83801255662891,1.2387
10,d-008,PT01,4080.0,-39,65.8688,0.0,3.2472
11,d-009,PT02,798.0,-32,65.8688,67.83638284354244,2.1784
12,d-010,PT03,86000.0,-27,65.8688,-85.05231909487327,2.0868
13,d-011,PT04,1100.0,-40,65.8688,36.619188267513934,2.3458
14,d-005,PT05,1460.0,-46,65.8688,57.186429162237175,2.0832
15,d-012,PT06,85800.0,-151,65.8688,4.1781979324266025,2.6302
16,d-013,PT07,83300.0,127,65.8688,53.038984824692136,2.1168
17,d-014,PT08,117000.0,108,65.8688,74.57449743504972,1.7199
18,d-015,PT09,85000.0,93,65.8688,6.742028463230342,1.607
19,d-004,PT10,248000.0,-164,65.8688,29.63722855691971,2.8304
