Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,505.0,-42,66.5369,131.10937894237998,1.7272
a-025,IR02,414.0,-45,66.5369,300.0757309197531,0.8103
a-026,IR03,426.0,-42,66.5369,199.04002676975105,1.1716
a-027,IR04,772.0,-44,66.5369,162.32801709163758,1.2028
a-011,IR05,783.0,-44,66.5369,144.56246571265112,1.4268
a-023,IR06,505.0,-35,66.5369,181.94062253337586,1.377
a-022,IR07,1460.0,-32,66.5369,0.0,0.594
a-021,IR08,1170.0,-33,66.5369,258.8610792193422,0.8375
a-020,IR09,913.0,-37,66.5369,142.94443015179192,1.008
a-004,IR10,1070.0,-38,66.5369,184.4081230348953,1.2387
a-028,PT01,1880.0,-33,66.5369,0.0,3.2472
a-029,PT02,559.0,-42,66.5369,58.581342134865416,2.1784
a-030,PT03,523.0,-39,66.5369,65.03700918594663,2.0868
a-031,PT04,981.0,-27,66.5369,74.25846739728608,2.3458
a-015,PT05,1030.0,-32,66.5369,69.2692024597235,2.0832
a-019,PT06,326.0,-55,66.5369,82.26052434794076,2.6302
a-018,PT07,459.0,-53,66.5369,112.53016163729536,2.1168
a-017,PT08,519.0,-47,66.5369,141.0169643136807,1.7199
a-016,PT09,372.0,-44,66.5369,184.42992350368144,1.607
a-000,PT10,616.0,-49,66.5369,14.18516963751229,2.8304
