Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,7710.0,-26,66.4583,14.884027505611677,1.7272
d-025,IR02,20600.0,-22,66.4583,47.62718461348693,0.8103
d-026,IR03,428.0,-13,66.4583,151.12530483354607,1.1716
d-027,IR04,3290.0,-30,66.4583,41.35222941343996,1.2028
d-007,IR05,1210.0,-27,66.4583,98.37157351134087,1.4268
d-028,IR06,110000.0,-22,66.4583,5.193750814665858,1.377
d-029,IR07,10500.0,-24,66.4583,0.0,0.594
d-030,IR08,65700.0,-21,66.4583,9.786844529835161,0.8375
d-031,IR09,7840.0,-26,66.4583,40.717411474277476,1.008
d-006,IR10,9810.0,-30,66.4583,22.46490088582779,1.2387
d-008,PT01,3480.0,-39,66.4583,0.0,3.2472
d-009,PT02,595.0,-21,66.4583,155.06004656159945,2.1784
d-010,PT03,53200.0,-26,66.4583,4.923864106394915,2.0868
d-011,PT04,712.0,-37,66.4583,68.25411850538102,2.3458
d-005,PT05,1030.0,-44,66.4583,70.41031549096276,2.0832
d-012,PT06,913.0,-55,66.4583,36.29417707205658,2.6302
d-013,PT07,1110.0,-55,66.4583,69.14381914383547,2.1168
d-014,PT08,875.0,-53,66.4583,88.14540499525928,1.7199
d-015,PT09,870.0,-53,66.4583,68.10466276407725,1.607
d-004,PT10,1030.0,-68,66.4583,32.99342350336166,2.8304
d-023,G1X1-1,8150.0,-42,66.4583,5.310897435898589,4.0
d-022,G1X1-2,17100.0,-62,66.4583,0.5079881656799257,4.0
d-021,G3X3S-1,18700.0,-57,66.4583,2.08018429094235,3.9204
d-020,G3X3S-2,11900.0,-63,66.4583,1.5858748220537886,3.9204
d-019,G2X2S-1,12200.0,-45,66.4583,2.6302578005818233,3.9601
d-018,G2X2S-2,9520.0,-21,66.4583,6.304716469862851,3.9601
d-017,G2X2L-1,16700.0,-66,66.4583,0.7449095022624064,4.0
d-016,G2X2L-2,11500.0,-53,66.4583,2.2118738376169658,4.0
