Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,335.0,-51,233.88100742134387,1.7272,66.3903
a-025,IR02,337.0,-64,1451.2668622277374,0.8103,66.3903
a-026,IR03,340.0,-37,358.07625855421986,1.1716,66.3903
a-027,IR04,388.0,-37,360.5369522396813,1.2028,66.3903
a-011,IR05,320.0,-32,193.17030040330383,1.4268,66.3903
a-023,IR06,951.0,-38,90.9486180728065,1.377,66.3903
a-022,IR07,1040.0,-39,0.0,0.594,66.3903
a-021,IR08,1300.0,-37,172.25312352269515,0.8375,66.3903
a-020,IR09,1870.0,-41,68.31950729015098,1.008,66.3903
a-004,IR10,2040.0,-44,65.4289181098726,1.2387,66.3903
a-028,PT01,21500.0,-33,2.8549823746247998,3.2472,66.3903
a-029,PT02,513.0,-49,30.172109381617048,2.1784,66.3903
a-030,PT03,661.0,-31,41.98103895792556,2.0868,66.3903
a-031,PT04,788.0,-41,36.83506364893955,2.3458,66.3903
a-015,PT05,1240.0,-39,30.387160538125723,2.0832,66.3903
a-019,PT06,361.0,-70,40.46145519618594,2.6302,66.3903
a-018,PT07,349.0,-66,58.74449624449576,2.1168,66.3903
a-017,PT08,719.0,-68,62.272298102252975,1.7199,66.3903
a-016,PT09,586.0,-59,86.76800151427419,1.607,66.3903
a-000,PT10,701.0,-62,30.06298455808984,2.8304,66.3903
