Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,7860.0,-27,66.0988,24.922479442268315,1.7272
d-025,IR02,6580.0,-26,66.0988,69.10334992530127,0.8103
d-026,IR03,924.0,-42,66.0988,427.040383083374,1.1716
d-027,IR04,15000.0,-24,66.0988,3.0652295295927194,1.2028
d-007,IR05,1270.0,-27,66.0988,119.65190502017396,1.4268
d-028,IR06,146000.0,-18,66.0988,-403.38528573694794,1.377
d-029,IR07,10700.0,-24,66.0988,0.0,0.594
d-030,IR08,76500.0,-22,66.0988,8.476962506813258,0.8375
d-031,IR09,6990.0,-21,66.0988,65.40340952961253,1.008
d-006,IR10,10300.0,-30,66.0988,22.073177430549464,1.2387
d-008,PT01,3540.0,-40,66.0988,0.0,3.2472
d-009,PT02,596.0,-26,66.0988,160.81551267925124,2.1784
d-010,PT03,54700.0,-25,66.0988,5.194638173367858,2.0868
d-011,PT04,561.0,-24,66.0988,137.74429723373777,2.3458
d-005,PT05,659.0,-38,66.0988,81.11213929859049,2.0832
d-012,PT06,45500.0,120,66.0988,37.94095798506863,2.6302
d-013,PT07,88400.0,7,66.0988,54.515342461800564,2.1168
d-014,PT08,72700.0,152,66.0988,66.35422084681218,1.7199
d-015,PT09,21600.0,-5,66.0988,85.91259393996881,1.607
d-004,PT10,101000.0,160,66.0988,34.768801365383965,2.8304
d-023,G1X1-1,7220.0,-47,66.0988,5.013461538460854,4.0
d-022,G1X1-2,12600.0,-60,66.0988,1.1824847814054529,4.0
d-021,G3X3S-1,10800.0,-66,66.0988,1.146406357049442,3.9204
d-020,G3X3S-2,6880.0,-55,66.0988,4.2032882941972876,3.9204
d-019,G2X2S-1,12400.0,-51,66.0988,1.7047618995368494,3.9601
d-018,G2X2S-2,8580.0,-59,66.0988,7.09993635530575,3.9601
d-017,G2X2L-1,14200.0,-61,66.0988,1.6516875981163504,4.0
d-016,G2X2L-2,12400.0,-54,66.0988,1.9726720647773408,4.0
