Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,517.0,-28,,,65.4507
A-025,IR02,424.0,-34,,,65.4507
A-026,IR03,403.0,-23,,,65.4507
A-027,IR04,638.0,-29,,,65.4507
A-011,IR05,319000.0,-23,,,65.4507
A-023,IR06,1380.0,-15,,,65.4507
A-022,IR07,529000.0,-42,,,65.4507
A-021,IR08,673.0,-32,,,65.4507
A-020,IR09,747.0,-27,,,65.4507
A-004,IR10,920.0,-50,,,65.4507
A-028,PT01,34200.0,-35,,,65.4507
A-029,PT02,640.0,-36,,,65.4507
A-030,PT03,319.0,-38,,,65.4507
A-031,PT04,425.0,-50,,,65.4507
A-015,PT05,2000.0,-37,,,65.4507
A-019,PT06,448.0,-61,,,65.4507
A-018,PT07,1270.0,-35,,,65.4507
A-017,PT08,382.0,-46,,,65.4507
A-016,PT09,797.0,-53,,,65.4507
A-000,PT10,111.0,132,,,65.4507
