Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,565.0,-51,66.3427,117.06203014217763,1.7272
a-025,IR02,546.0,-43,66.3427,321.46632468953135,0.8103
a-026,IR03,540.0,-44,66.3427,231.03752682964247,1.1716
a-027,IR04,1020.0,-45,66.3427,191.99727263606493,1.2028
a-011,IR05,990.0,-45,66.3427,147.8530493196096,1.4268
a-023,IR06,1150.0,-29,66.3427,187.72929828919527,1.377
a-022,IR07,1580.0,-33,66.3427,0.0,0.594
a-021,IR08,1280.0,-35,66.3427,193.0912188437624,0.8375
a-020,IR09,972.0,-37,66.3427,227.18717294608476,1.008
a-004,IR10,1130.0,-38,66.3427,181.7348469181674,1.2387
a-028,PT01,2120.0,-37,66.3427,0.0,3.2472
a-029,PT02,719.0,-44,66.3427,59.742153733161985,2.1784
a-030,PT03,612.0,-38,66.3427,53.664490928368224,2.0868
a-031,PT04,1270.0,-27,66.3427,85.71635543244284,2.3458
a-015,PT05,1280.0,-34,66.3427,34.20170307896294,2.0832
a-019,PT06,322.0,-67,66.3427,80.9061368971842,2.6302
a-018,PT07,498.0,-55,66.3427,105.58062968777892,2.1168
a-017,PT08,593.0,-51,66.3427,133.66592805227177,1.7199
a-016,PT09,418.0,-45,66.3427,221.7768194382541,1.607
a-000,PT10,693.0,-51,66.3427,13.064505998367485,2.8304
