Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,598.0,-50,,,65.52
A-025,IR02,656.0,-62,,,65.52
A-026,IR03,331.0,-26,,,65.52
A-027,IR04,579.0,-33,,,65.52
A-011,IR05,146000.0,-22,,,65.52
A-023,IR06,585.0,-57,,,65.52
A-022,IR07,338000.0,-44,,,65.52
A-021,IR08,338000.0,-42,,,65.52
A-020,IR09,857.0,-31,,,65.52
A-004,IR10,1090.0,-52,,,65.52
A-028,PT01,23400.0,-37,,,65.52
A-029,PT02,1160.0,-75,,,65.52
A-030,PT03,789.0,-35,,,65.52
A-031,PT04,588.0,-47,,,65.52
A-015,PT05,1920.0,-42,,,65.52
A-019,PT06,1110.0,-72,,,65.52
A-018,PT07,381.0,-70,,,65.52
A-017,PT08,690.0,-67,,,65.52
A-016,PT09,685.0,-59,,,65.52
A-000,PT10,727.0,-59,,,65.52
