Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,569.0,-43,164.096573535188,1.7272,65.6215
a-025,IR02,411.0,-46,658.5879873549527,0.8103,65.6215
a-026,IR03,251.0,-13,469.71706454462407,1.1716,65.6215
a-027,IR04,545.0,-33,220.2573647428256,1.2028,65.6215
a-011,IR05,555.0,-56,72.60250508634202,1.4268,65.6215
a-023,IR06,692.0,-28,169.313065240667,1.377,65.6215
a-022,IR07,59500.0,-29,0.0,0.594,65.6215
a-021,IR08,77200.0,-30,281.8638993111914,0.8375,65.6215
a-020,IR09,476.0,-36,252.8205128205464,1.008,65.6215
a-004,IR10,569.0,-43,124.59717466567317,1.2387,65.6215
a-028,PT01,1160.0,-30,30.66181170394029,3.2472,65.6215
a-029,PT02,465.0,-49,38.77705917248914,2.1784,65.6215
a-030,PT03,427.0,-42,51.69287536308861,2.0868,65.6215
a-031,PT04,595.0,-44,44.8016460727551,2.3458,65.6215
a-015,PT05,1920.0,-42,29.763533825442117,2.0832,65.6215
a-019,PT06,738.0,-57,41.28301238899069,2.6302,65.6215
a-018,PT07,387.0,-67,41.830435878055226,2.1168,65.6215
a-017,PT08,686.0,-65,52.06399895045426,1.7199,65.6215
a-016,PT09,709.0,-57,80.59995813939227,1.607,65.6215
a-000,PT10,790.0,-56,26.428718963343915,2.8304,65.6215
