Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,780.0,-19,212.47520813302472,1.7272,67.2424
a-025,IR02,449.0,-14,562.0509246617805,0.8103,67.2424
a-026,IR03,844.0,-14,971.7152086573084,1.1716,67.2424
a-027,IR04,645.0,-45,218.8307410913825,1.2028,67.2424
a-011,IR05,475.0,-51,184.2891694577078,1.4268,67.2424
a-023,IR06,751.0,-38,106.11621985437696,1.377,67.2424
a-022,IR07,1790.0,-30,0.0,0.594,67.2424
a-021,IR08,907.0,-38,164.2568082663825,0.8375,67.2424
a-020,IR09,1510.0,-41,95.74997651920228,1.008,67.2424
a-004,IR10,1700.0,-43,78.9956592208889,1.2387,67.2424
a-028,PT01,62900.0,-37,2.3795563583244697,3.2472,67.2424
a-029,PT02,1180.0,-9,23.88189917334657,2.1784,67.2424
a-030,PT03,800.0,-28,62.17653824035916,2.0868,67.2424
a-031,PT04,812.0,-43,41.38329059464987,2.3458,67.2424
a-015,PT05,1190.0,-40,36.36860982678217,2.0832,67.2424
a-019,PT06,951.0,-17,36.7156795755429,2.6302,67.2424
a-018,PT07,373.0,-54,43.70765400177415,2.1168,67.2424
a-017,PT08,686.0,-65,64.5210578765347,1.7199,67.2424
a-016,PT09,622.0,-60,72.94137479631787,1.607,67.2424
a-000,PT10,665.0,-63,24.5243243508655,2.8304,67.2424
