Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-008,PT01,3700.0,-38,66.3384,0.0,3.2472
d-009,PT02,1020.0,-35,66.3384,76.27593750571283,2.1784
d-010,PT03,42500.0,-26,66.3384,6.83142320945639,2.0868
d-011,PT04,1150.0,-39,66.3384,38.73544669610892,2.3458
d-005,PT05,1350.0,-40,66.3384,75.22339891291954,2.0832
d-012,PT06,825.0,-66,66.3384,41.58837601944896,2.6302
d-013,PT07,1210.0,-62,66.3384,43.76150745198042,2.1168
d-014,PT08,1160.0,-54,66.3384,74.74808463819511,1.7199
d-015,PT09,903.0,-53,66.3384,78.01469532334369,1.607
d-004,PT10,958.0,-71,66.3384,42.25165618164517,2.8304
