Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-028,PT01,49800.0,-36,3.15428786348113,3.2472,66.9325
a-029,PT02,555.0,-48,32.0856936802774,2.1784,66.9325
a-030,PT03,887.0,-26,50.38804569468231,2.0868,66.9325
a-031,PT04,860.0,-43,33.75198856735938,2.3458,66.9325
a-015,PT05,1270.0,-39,33.26442478117767,2.0832,66.9325
a-019,PT06,355.0,-78,35.70567900656801,2.6302,66.9325
a-018,PT07,728.0,-56,39.99018838305159,2.1168,66.9325
a-017,PT08,802.0,-70,54.59277728185599,1.7199,66.9325
a-016,PT09,638.0,-60,76.49657747355386,1.607,66.9325
a-000,PT10,660.0,-63,27.40204942190376,2.8304,66.9325
