Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-008,PT01,3670.0,-39,66.1801,0.0,3.2472
d-009,PT02,682.0,-32,66.1801,153.1646374191317,2.1784
d-010,PT03,56000.0,-25,66.1801,4.5650408251547,2.0868
d-011,PT04,672.0,-30,66.1801,143.99471627154412,2.3458
d-005,PT05,956.0,-44,66.1801,61.81798712040866,2.0832
d-012,PT06,876.0,-64,66.1801,34.9263355878803,2.6302
d-013,PT07,826.0,-61,66.1801,54.4746060817494,2.1168
d-014,PT08,898.0,-61,66.1801,67.61021305300613,1.7199
d-015,PT09,909.0,-58,66.1801,61.51213441194066,1.607
d-004,PT10,1150.0,-71,66.1801,33.72866409685143,2.8304
