Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-028,PT01,35400.0,-43,,,65.4039
A-029,PT02,372.0,-52,,,65.4039
A-030,PT03,301.0,-41,,,65.4039
A-031,PT04,435.0,-61,,,65.4039
A-015,PT05,1830.0,-46,,,65.4039
A-019,PT06,1130.0,-60,,,65.4039
A-018,PT07,892.0,-44,,,65.4039
A-017,PT08,673.0,-63,,,65.4039
A-016,PT09,1550.0,-48,,,65.4039
A-000,PT10,1520.0,-55,,,65.4039
