Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-028,PT01,5710.0,-31,66.1507,0.0,3.2472
d-029,PT02,3180.0,-24,66.1507,32.317411007603354,2.1784
d-030,PT03,32700.0,-22,66.1507,7.404032010171116,2.0868
d-031,PT04,6070.0,-25,66.1507,22.43330141595437,2.3458
d-015,PT05,6250.0,-25,66.1507,33.23884023136563,2.0832
d-019,PT06,911.0,-70,66.1507,45.4966864175485,2.6302
d-018,PT07,1040.0,-68,66.1507,47.12312275338428,2.1168
d-017,PT08,1150.0,-68,66.1507,65.70057345751684,1.7199
d-016,PT09,829.0,-58,66.1507,91.95091243251927,1.607
d-000,PT10,975.0,-71,66.1507,45.663564812799066,2.8304
