Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-008,PT01,3610.0,-40,66.3577,0.0,3.2472
d-009,PT02,566.0,-29,66.3577,160.81551267925124,2.1784
d-010,PT03,57900.0,-25,66.3577,3.87243235726704,2.0868
d-011,PT04,744.0,-42,66.3577,64.35298438453415,2.3458
d-005,PT05,1040.0,-49,66.3577,63.770235141224674,2.0832
d-012,PT06,838.0,-60,66.3577,41.89244938102867,2.6302
d-013,PT07,815.0,-59,66.3577,52.21465042893634,2.1168
d-014,PT08,853.0,-58,66.3577,70.83104116071016,1.7199
d-015,PT09,996.0,-55,66.3577,52.60399214972801,1.607
d-004,PT10,626.0,-67,66.3577,38.160311102248286,2.8304
