Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-028,PT01,27600.0,-33,,,65.511
A-029,PT02,585.0,-34,,,65.511
A-030,PT03,1100.0,-26,,,65.511
A-031,PT04,1410.0,-25,,,65.511
A-015,PT05,1930.0,-34,,,65.511
A-019,PT06,1270.0,-40,,,65.511
A-018,PT07,971.0,-22,,,65.511
A-017,PT08,614.0,-59,,,65.511
A-016,PT09,1650.0,-23,,,65.511
A-000,PT10,192.0,-94,,,65.511
