Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-028,PT01,1690.0,-22,41.83000265316189,3.2472,65.4668
a-029,PT02,535.0,-38,37.81646374191714,2.1784,65.4668
a-030,PT03,543.0,-33,50.50708742824175,2.0868,65.4668
a-031,PT04,835.0,-32,40.39455130938323,2.3458,65.4668
a-015,PT05,2050.0,-38,35.73867367941555,2.0832,65.4668
a-019,PT06,502.0,-38,141.2937302219801,2.6302,65.4668
a-018,PT07,576.0,-43,52.06568963617898,2.1168,65.4668
a-017,PT08,606.0,-64,33.619398556776886,1.7199,65.4668
a-016,PT09,628.0,-59,76.73160691207984,1.607,65.4668
a-000,PT10,1520.0,-147,21.68462190720731,2.8304,65.4668
