Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-028,PT01,1350.0,-32,66.5606,0.0,3.2472
a-029,PT02,452.0,-44,66.5606,87.77387943557981,2.1784
a-030,PT03,482.0,-37,66.5606,95.83102748571504,2.0868
a-031,PT04,806.0,-28,66.5606,157.1355602716162,2.3458
a-015,PT05,814.0,-33,66.5606,129.48757714576578,2.0832
a-019,PT06,238.0,-44,66.5606,137.32370587364343,2.6302
a-018,PT07,383.0,-44,66.5606,140.8279446563288,2.1168
a-017,PT08,421.0,-41,66.5606,451.16665995839,1.7199
a-016,PT09,329.0,-34,66.5606,300.96692355559446,1.607
a-000,PT10,496.0,-42,66.5606,118.87420098274433,2.8304
