Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-028,PT01,5330.0,-30,66.0874,0.0,3.2472
d-029,PT02,2690.0,-24,66.0874,41.32472430470885,2.1784
d-030,PT03,27800.0,-21,66.0874,8.380950026757505,2.0868
d-031,PT04,5300.0,-23,66.0874,30.90732783637272,2.3458
d-015,PT05,5470.0,-24,66.0874,44.42111674547864,2.0832
d-019,PT06,788.0,-69,66.0874,50.05673062131763,2.6302
d-018,PT07,961.0,-70,66.0874,46.35358416870841,2.1168
d-017,PT08,823.0,-68,66.0874,80.69152391496769,1.7199
d-016,PT09,650.0,-56,66.0874,112.56859835502888,1.607
d-000,PT10,690.0,-68,66.0874,52.03396095142202,2.8304
