Unnamed: 0,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
10,d-008,PT01,3920.0,-39,66.3807,0.0,3.2472
11,d-009,PT02,796.0,-26,66.3807,115.20452555157836,2.1784
12,d-010,PT03,44300.0,-25,66.3807,5.068181929884052,2.0868
13,d-011,PT04,971.0,-37,66.3807,46.81328987322845,2.3458
14,d-005,PT05,1280.0,-43,66.3807,63.18920248000637,2.0832
15,d-012,PT06,800.0,-60,66.3807,38.94880813243798,2.6302
16,d-013,PT07,946.0,-57,66.3807,56.81501589235577,2.1168
17,d-014,PT08,602.0,-58,66.3807,66.41249530711919,1.7199
18,d-015,PT09,6500.0,-27,66.3807,26.188582169503345,1.607
19,d-004,PT10,927.0,-71,66.3807,31.56345721535688,2.8304
