Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-008,PT01,3730.0,-37,66.23,0.0,3.2472
d-009,PT02,1080.0,-34,66.23,77.4742515159125,2.1784
d-010,PT03,42600.0,-26,66.23,5.274047514347979,2.0868
d-011,PT04,1220.0,-39,66.23,44.88796574527395,2.3458
d-005,PT05,1360.0,-40,66.23,80.13816640972817,2.0832
d-012,PT06,898.0,-66,66.23,41.74352368182027,2.6302
d-013,PT07,1220.0,-62,66.23,38.17590263373342,2.1168
d-014,PT08,1160.0,-53,66.23,92.64134319084744,1.7199
d-015,PT09,925.0,-53,66.23,79.3882533148455,1.607
d-004,PT10,967.0,-71,66.23,48.96266840432559,2.8304
