Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-028,PT01,21500.0,-33,2.8549823746248,3.2472,66.3903
a-029,PT02,513.0,-49,30.172109381617048,2.1784,66.3903
a-030,PT03,661.0,-31,41.98103895792556,2.0868,66.3903
a-031,PT04,788.0,-41,36.83506364893955,2.3458,66.3903
a-015,PT05,1240.0,-39,30.387160538125723,2.0832,66.3903
a-019,PT06,361.0,-70,40.46145519618594,2.6302,66.3903
a-018,PT07,349.0,-66,58.74449624449576,2.1168,66.3903
a-017,PT08,719.0,-68,62.272298102252975,1.7199,66.3903
a-016,PT09,586.0,-59,86.76800151427419,1.607,66.3903
a-000,PT10,701.0,-62,30.06298455808984,2.8304,66.3903
