Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-028,PT01,5760.0,-30,66.0826,0.0,3.2472
d-029,PT02,3230.0,-26,66.0826,36.9586005254442,2.1784
d-030,PT03,33000.0,-22,66.0826,7.353916928385706,2.0868
d-031,PT04,6130.0,-23,66.0826,21.864589938166905,2.3458
d-015,PT05,6260.0,-23,66.0826,34.731934118812404,2.0832
d-019,PT06,962.0,-70,66.0826,42.10332710066886,2.6302
d-018,PT07,1020.0,-69,66.0826,45.74699110413617,2.1168
d-017,PT08,1130.0,-68,66.0826,64.72148359672052,1.7199
d-016,PT09,813.0,-59,66.0826,86.31857715519456,1.607
d-000,PT10,913.0,-71,66.0826,44.74944140715761,2.8304
